"","Term","Estimate","Std. Error","z value","Pr(>|z|)","deviance","N","converged","species"
"146","before.afterBefore",-0.00555096361156696,0.216798352743464,-0.025604270241552,0.979572980027736,0.314746787077586,8770,TRUE,"Whistling_Kite"
"147","(Intercept)",-5.23390368292431,0.353542735083384,-14.8041613178386,1.37693750473271e-49,0.25815305136872,8770,TRUE,"White-bellied_Sea-Eagle"
"148","before.afterBefore",0.305543091420863,0.273472815340308,1.1172704352374,0.263878712495011,0.25815305136872,8770,TRUE,"White-bellied_Sea-Eagle"
"149","(Intercept)",-0.964996381379175,0.117094623532633,-8.24116729074449,1.70538581420536e-16,0.0862507581517229,8771,TRUE,"White-browed_Scrubwren"
"150","before.afterBefore",0.241736061817971,0.120069205920883,2.01330607597469,0.0440824395605053,0.0862507581517229,8771,TRUE,"White-browed_Scrubwren"
"151","(Intercept)",-11.092522677523,4.95133208006677,-2.24031078872283,0.0250707533247124,0.553054461164355,8770,TRUE,"White-cheeked_Honeyeater"
"152","before.afterBefore",0.676823143165802,0.356459822016828,1.89873613058655,0.0575991785336155,0.553054461164355,8770,TRUE,"White-cheeked_Honeyeater"
"153","(Intercept)",-5.87273478345688,1.37505133828449,-4.27092037944103,1.94667904460434e-05,0.243235111323453,8770,TRUE,"White-eared_Honeyeater"
"154","before.afterBefore",-0.343356665601583,0.160763643527358,-2.13578554247654,0.0326968980848338,0.243235111323453,8770,TRUE,"White-eared_Honeyeater"
"155","(Intercept)",-2.59051691422973,0.174807777600403,-14.8192314426161,1.10036214040798e-49,0.147607167791066,8770,TRUE,"White-faced_Heron"
"156","before.afterBefore",-0.220829310554858,0.175772232357119,-1.25633786175166,0.208993500189384,0.147607167791066,8770,TRUE,"White-faced_Heron"
"157","(Intercept)",-1.85058785414881,0.150510960347455,-12.2953693862342,9.59172922571063e-35,0.102955521419597,8770,TRUE,"White-naped_Honeyeater"
"158","before.afterBefore",0.367634031479958,0.15250629204004,2.41061550026695,0.0159256278886152,0.102955521419597,8770,TRUE,"White-naped_Honeyeater"
"159","(Intercept)",-0.619966814633903,0.160563543304047,-3.86119290765724,0.000112834769306264,0.123453269515013,8772,TRUE,"White-throated_Treecreeper"
"160","before.afterBefore",0.203059526681946,0.110423609312558,1.83891405059202,0.0659278288468662,0.123453269515013,8772,TRUE,"White-throated_Treecreeper"
"161","(Intercept)",-1.05573088053395,0.122878254771711,-8.59168192529533,8.57053729590154e-18,0.100063964996894,8770,TRUE,"Willie-wagtail"
"162","before.afterBefore",-0.374672829542795,0.126934268226716,-2.95170748433036,0.00316022150195679,0.100063964996894,8770,TRUE,"Willie-wagtail"
"163","(Intercept)",-5.35916785396814,1.06625897526451,-5.02614090787715,5.00448235058849e-07,0.22766412854419,8770,TRUE,"Wonga_Pigeon"
"164","before.afterBefore",-0.0185624066433179,0.160495349830923,-0.115656974877296,0.907924406413421,0.22766412854419,8770,TRUE,"Wonga_Pigeon"
"165","(Intercept)",-0.840937571543418,0.128151807449092,-6.56204222384832,5.30757805800847e-11,0.123306761964139,8770,TRUE,"Yellow-faced_Honeyeater"
"166","before.afterBefore",0.617659716602151,0.121910597069907,5.06649734680545,4.05202396065105e-07,0.123306761964139,8770,TRUE,"Yellow-faced_Honeyeater"
"167","(Intercept)",-6.23343658301165,1.4576520858387,-4.27635417502598,1.89978899668108e-05,0.256948473769162,8770,TRUE,"Yellow-rumped_Thornbill"
"168","before.afterBefore",-0.548246602864528,0.249746643119441,-2.19521109880275,0.0281484584908367,0.256948473769162,8770,TRUE,"Yellow-rumped_Thornbill"
"169","(Intercept)",-1.8148611227569,0.132858301875504,-13.6601258418727,1.75679893276123e-42,0.0807389771765039,8770,TRUE,"Yellow-tailed_Black-Cockatoo"
"170","before.afterBefore",-0.244585086430193,0.135682742124659,-1.80262487771274,0.0714471472754306,0.0807389771765039,8770,TRUE,"Yellow-tailed_Black-Cockatoo"
